Age,Monthly_Income,Job_Satisfaction,Years_at_Company,Overtime,Work_Life_Balance,Job_Level,Attrition
50,43419,2,3,1,4,3,1
36,70636,1,2,0,1,2,0
29,70015,4,9,1,2,1,0
42,74268,4,8,1,2,3,1
40,38141,1,13,0,2,3,0
44,91910,2,12,1,2,1,0
32,76044,1,10,1,2,3,0
32,87214,4,7,1,3,3,0
45,53827,5,9,0,1,2,0
45,75820,5,4,0,3,3,0
24,82623,3,13,0,4,4,1
43,95450,1,4,1,2,1,1
23,42299,1,1,1,1,2,1
45,63585,3,8,0,2,2,1
51,84044,3,14,1,1,4,1
23,62557,3,14,1,3,1,0
42,69080,4,12,0,1,1,0
54,22693,1,3,0,4,2,0
33,89163,4,7,1,4,3,0
43,45939,3,15,1,1,2,0
46,68925,1,12,1,1,1,1
48,62941,4,2,0,1,4,0
49,41834,4,2,0,1,2,0
37,38047,3,7,0,4,1,1
36,46105,1,15,0,2,2,1
24,95766,3,6,1,1,3,1
28,35707,1,3,0,1,2,0
42,41976,5,9,0,4,2,0
30,64262,2,10,0,4,1,1
39,43776,2,15,0,3,1,0
25,50080,2,14,0,1,1,0
46,86842,3,13,1,3,2,1
35,81373,5,6,1,4,3,1
30,26776,1,10,0,4,4,1
47,75016,4,10,1,2,4,1
23,29474,1,6,0,1,1,0
41,78053,4,1,0,3,1,0
49,41959,1,4,1,4,2,1
28,25530,5,10,1,4,4,1
29,23748,4,6,0,3,1,0
35,33545,3,15,0,2,3,0
38,86199,1,6,0,4,3,0
25,54766,1,11,1,1,1,0
23,93530,4,12,0,4,1,1
27,81087,3,5,0,1,4,0
25,88840,3,1,0,3,4,0
50,74384,5,8,1,1,2,0
39,71005,3,5,0,3,4,1
47,66576,3,12,0,1,3,1
55,59353,3,12,1,3,3,1
31,82003,2,12,0,1,1,0
35,72733,5,5,0,2,4,0
52,85318,1,7,1,1,2,1
36,43664,4,4,0,1,3,0
29,87172,1,6,1,2,3,0
35,46736,5,13,1,4,2,1
44,20854,4,4,0,4,2,1
42,58623,5,14,0,1,3,1
37,27392,3,15,0,2,3,0
39,75680,4,3,0,1,2,0
45,66717,3,7,1,3,3,1
47,70859,1,8,0,3,1,1
46,46309,1,4,1,1,1,1
50,83734,4,13,0,4,2,0
36,90467,4,2,0,4,4,0
22,72662,5,12,0,1,2,1
46,32688,5,10,1,1,2,1
28,45342,3,14,0,3,4,0
30,57157,4,3,0,4,4,0
45,87863,1,1,0,1,4,1
22,72083,5,8,0,3,1,0
29,85733,5,15,1,4,3,0
45,54698,1,3,0,2,1,1
32,42671,5,12,1,3,3,0
38,45184,3,10,1,4,1,1
29,62107,4,7,1,4,3,0
54,71663,1,10,1,3,1,1
26,35708,4,5,1,2,4,0
49,69811,5,10,1,3,2,0
28,22811,5,5,0,4,1,0
30,76250,1,14,1,1,3,1
29,92082,3,7,1,1,4,0
33,54754,2,15,1,3,1,0
55,31411,1,9,0,4,1,1
54,22911,2,12,0,1,4,0
44,87270,2,5,1,4,1,1
45,28680,3,1,0,3,2,0
43,91295,2,10,1,1,1,1
48,31111,2,10,1,4,2,0
22,57504,3,1,0,1,2,0
35,21802,2,15,1,3,4,1
24,28155,2,2,0,4,1,0
22,93656,2,14,0,1,4,0
26,59384,1,6,1,3,1,1
47,67254,1,9,1,1,1,1
35,41918,1,8,0,1,3,0
48,80713,3,13,1,2,1,1
30,50306,5,5,1,2,4,0
36,36646,2,1,1,3,2,0
36,66843,2,13,0,2,1,1
